Nro / Fecha Ingreso,Publ. DO Extracto,Publ. DS / Notif. RES.,Empresa,Comuna,Direccion,Latitud,Longitud
45208 - 19/10/2010,11/02/2011,- - -,MOVISTAR MOVIL,Recoleta,Av. Peru 1454,"33°24""54","70°38""21"
61888 - 07/11/2006,-,114 - 27/03/2007,ENTEL PCS,Recoleta,DÁVILA BAEZA Nº 700,"33°25""45","70°38""50"
41443 - 05/07/2006,-,567 - 20/11/2006,CLARO CHILE SPA,Recoleta,El Manzano N° 377,"33°25""45.90012","70°38""43.40004"
17738 - 17/02/2011,05/05/2011,- - -,ENTEL PCS,Recoleta,AV. LA SERENA Nº 796,"33°23""46","70°38""46"
68408 - 16/05/2018,-,- - -,ENTEL PCS,Recoleta,SAN CRISTOBAL Nº355,"33°25""16","70°38""27"
38010 - 25/09/2003,-,681 - 03/01/2004,Movistar,Recoleta,Bellavista N° 180,"33°26""2","70°38""30"
17157 - 13/02/2007,-,453 - 20/07/2007,Movistar,Recoleta,Av. El Salto N° 2.030 (ex 2.040),"33°24""33","70°38""8"
20756 - 12/03/2007,-,525 - 20/07/2007,Movistar,Recoleta,Av. El Salto N° 2.030 (ex 2.040),"33°24""33","70°38""8"
54473 - 24/03/2015,-,- - -,MOVISTAR MOVIL,Recoleta,Recoleta N° 3990,"33°23""4.44","70°38""23.44"
24937 - 27/07/2001,-,410 - 06/08/2002,Entel Móvil,Recoleta,AV. BELLAVISTA Nº 504,"33°25""57","70°38""52"
61888 - 07/11/2006,-,114 - 27/03/2007,ENTEL PCS,Recoleta,AVDA. BELLAVISTA Nº 504,"33°25""57","70°38""52"
85808 - 12/11/2004,-,208 - 20/07/2005,Movistar,Recoleta,Av. Recoleta Nº 23,"33°25""57","70°38""52"
41443 - 05/07/2006,-,567 - 20/11/2006,CLARO CHILE SPA,Recoleta,Av. El Salto N° 2087,"33°24""25.98984","70°37""57.10008"
41443 - 05/07/2006,-,567 - 20/11/2006,CLARO CHILE SPA,Recoleta,Raúl Montt N° 1046,"33°23""30.08004","70°39""5.78988"
128388 - 14/07/2022,-,- - -,WOM,Recoleta,Lircay N°352 (ex. 346),"33°24""20","70°38""17"
20756 - 12/03/2007,-,525 - 20/07/2007,Movistar,Recoleta,Ernesto Pinto Lagarrigue N° 179,"33°25""56","70°38""13"
